hsi_return,trade_date
-0.00790083161648869,2023-02-28
0.04213959546122603,2023-03-01
-0.009226608490131794,2023-03-02
0.006758774762702924,2023-03-03
0.001733332826871825,2023-03-06
-0.0033348712601668495,2023-03-07
-0.023532636702710552,2023-03-08
-0.006259448444610682,2023-03-09
-0.030403904967849837,2023-03-10
0.019464406828323177,2023-03-13
-0.02274626482633413,2023-03-14
0.015165668928405207,2023-03-15
-0.01719351250293244,2023-03-16
0.016386229936489638,2023-03-17
-0.026532598430302534,2023-03-20
0.013581009098754926,2023-03-21
0.017273693941018076,2023-03-22
0.02338833585954947,2023-03-23
-0.006681463274357369,2023-03-24
-0.017473178914070187,2023-03-27
0.011087713652638165,2023-03-28
0.020609411435099867,2023-03-29
0.0057809109611453025,2023-03-30
0.0044796853324229335,2023-03-31
0.0004446207779216227,2023-04-03
-0.00659457390305751,2023-04-04
0.002792134165784388,2023-04-06
0.007576582864966319,2023-04-11
-0.00856132793017994,2023-04-12
0.0017046446807316151,2023-04-13
0.004636642271101277,2023-04-14
0.016813046487557992,2023-04-17
-0.006348599808244093,2023-04-18
-0.013692155942351958,2023-04-19
0.0014341752768165517,2023-04-20
-0.015749409020123895,2023-04-21
-0.005767711207581794,2023-04-24
-0.017137256080025143,2023-04-25
0.00710518495214485,2023-04-26
0.004201479637340855,2023-04-27
0.0027364037981840728,2023-04-28
0.001972409243256923,2023-05-02
-0.011771476912214696,2023-05-03
0.012669083885833432,2023-05-04
0.005041928772488102,2023-05-05
0.012355474739185635,2023-05-08
-0.021158230225155172,2023-05-09
-0.005304161803330487,2023-05-10
-0.0009315843872544916,2023-05-11
-0.005903062869850317,2023-05-12
0.01752108910338368,2023-05-15
0.0003564715826624987,2023-05-16
-0.020906720433471415,2023-05-17
0.00852120796260647,2023-05-18
-0.014025253773333857,2023-05-19
0.011701436293039214,2023-05-22
-0.012547910850211452,2023-05-23
-0.016227484721775487,2023-05-24
-0.019303783371116823,2023-05-25
-0.010444944966480407,2023-05-29
0.002407938036050661,2023-05-30
-0.019440420315471885,2023-05-31
-0.0009520192169063524,2023-06-01
0.04023894780111803,2023-06-02
0.008367337915101025,2023-06-05
-0.0004825445809456541,2023-06-06
0.007996150051064355,2023-06-07
0.002450638245377057,2023-06-08
0.004703284425544352,2023-06-09
0.0007406583670219735,2023-06-12
0.006035224736127498,2023-06-13
-0.005788513358773506,2023-06-14
0.021665854391683892,2023-06-15
0.010663678081463734,2023-06-16
-0.0063610862020789805,2023-06-19
-0.015357416089609055,2023-06-20
-0.019826025456166407,2023-06-21
-0.01708673808753125,2023-06-23
-0.005073583503977908,2023-06-26
0.018835667509647935,2023-06-27
0.0012492040111209413,2023-06-28
-0.012397808088556617,2023-06-29
-0.000946939220118237,2023-06-30
0.020625464883990086,2023-07-03
0.005650394224608002,2023-07-04
-0.01572434408884249,2023-07-05
-0.030210286355532134,2023-07-06
-0.009029898232907785,2023-07-07
0.0062083933215346665,2023-07-10
0.009746325601638794,2023-07-11
0.010778187142270523,2023-07-12
0.025962103826047578,2023-07-13
0.0032639863247270196,2023-07-14
-0.02050392083184316,2023-07-18
-0.0033346175640652786,2023-07-19
-0.001281691515391814,2023-07-20
0.007778956172985074,2023-07-21
-0.021342271612659225,2023-07-24
0.04104584460519467,2023-07-25
-0.003563771674602867,2023-07-26
0.014147521843776989,2023-07-27
0.014127482391242507,2023-07-28
0.00815295923549808,2023-07-31
-0.0033776839986160434,2023-08-01
-0.024673196825241606,2023-08-02
-0.004944911381572048,2023-08-03
0.006106410378252658,2023-08-04
-7.886684437863334e-05,2023-08-07
-0.01810581686354107,2023-08-08
0.003224500994930324,2023-08-09
0.00011589241165510522,2023-08-10
-0.008991478430121824,2023-08-11
-0.015813141600309666,2023-08-14
-0.01025066640255401,2023-08-15
-0.013551860046031261,2023-08-16
-0.00014566414217676016,2023-08-17
-0.02050465537738322,2023-08-18
-0.018247634736125673,2023-08-21
0.009516992119359191,2023-08-22
0.003086399084333946,2023-08-23
0.020522898320924465,2023-08-24
-0.005094357085014933,2023-08-25
0.0006263791983898148,2023-08-28
0.019485639192501347,2023-08-29
-6.329366050061846e-05,2023-08-30
-0.005453638210402678,2023-08-31
0.025138618611152186,2023-09-04
-0.020550133133503512,2023-09-05
-0.0003754521987340276,2023-09-06
-0.01343687906173685,2023-09-07
-0.00580269672277145,2023-09-11
-0.0038990297431881205,2023-09-12
-0.0009247766017108638,2023-09-13
0.0021488558215783105,2023-09-14
0.007478463097645216,2023-09-15
-0.013877872828594873,2023-09-18
0.003715398452492913,2023-09-19
-0.00619932539306578,2023-09-20
-0.012870099865388007,2023-09-21
0.022771437136943407,2023-09-22
-0.018173118045335723,2023-09-25
-0.014799728909039578,2023-09-26
0.00829962653693328,2023-09-27
-0.013561300157464373,2023-09-28
0.025132684226436997,2023-09-29
-0.026864041701385233,2023-10-03
-0.007811386266092013,2023-10-04
0.0010484685272031946,2023-10-05
0.015807679604279867,2023-10-06
0.0017968636034537688,2023-10-09
0.008410498980422343,2023-10-10
0.012927971985137177,2023-10-11
0.01928739769291732,2023-10-12
-0.023289659287613396,2023-10-13
-0.009716806757885443,2023-10-16
0.007538421747714574,2023-10-17
-0.002296715916021541,2023-10-18
-0.024623060782791195,2023-10-19
-0.007155443354048163,2023-10-20
-0.01051713173973412,2023-10-24
0.005520443722935031,2023-10-25
-0.0023833723398259954,2023-10-26
0.020776134316659922,2023-10-27
0.0004384748797450211,2023-10-30
-0.016883421737924453,2023-10-31
-0.0006253431169456203,2023-11-01
0.007531996796294571,2023-11-02
0.025160444349631605,2023-11-03
0.01712345239052193,2023-11-06
-0.01649893998126295,2023-11-07
-0.00575542144783725,2023-11-08
-0.0032542335497337538,2023-11-09
-0.01759032677580752,2023-11-10
0.01295982127297135,2023-11-13
-0.0016843341679536605,2023-11-14
0.03921056153274782,2023-11-15
-0.013616886304552267,2023-11-16
-0.021232247773482982,2023-11-17
0.018556052702694448,2023-11-20
-0.0024850665299110952,2023-11-21
3.997906550745611e-05,2023-11-22
0.009937649468095833,2023-11-23
-0.019620516119886355,2023-11-24
-0.0019567488648754017,2023-11-27
-0.009752886240697034,2023-11-28
-0.020784732570126918,2023-11-29
0.002909440810165531,2023-11-30
-0.012473247913838637,2023-12-01
-0.010947516767214616,2023-12-04
-0.019115070227102016,2023-12-05
0.008292538712798558,2023-12-06
-0.007129214922099836,2023-12-07
-0.0007047356551254103,2023-12-08
-0.00813498664834833,2023-12-11
0.010678632836991886,2023-12-12
-0.008901035146111291,2023-12-13
0.010687172648848442,2023-12-14
0.02377731345650913,2023-12-15
-0.009704451276582815,2023-12-18
-0.007470608395466982,2023-12-19
0.006592580846713103,2023-12-20
0.0004406161054590907,2023-12-21
-0.01688938649843208,2023-12-22
0.017406520691967353,2023-12-27
0.025184570622038382,2023-12-28
0.0002265568391230932,2023-12-29
-0.01518354623554008,2024-01-02
-0.008466521431900298,2024-01-03
-2.5812622419296716e-05,2024-01-04
-0.0066472738468441595,2024-01-05
-0.018800948111932225,2024-01-08
-0.0021221467382881443,2024-01-09
-0.0057281745481216895,2024-01-10
0.012720146642590135,2024-01-11
-0.003524709839984208,2024-01-12
-0.0017390415673497195,2024-01-15
-0.021608474578516668,2024-01-16
-0.03712482693410635,2024-01-17
0.007520481609476493,2024-01-18
-0.005398956792166731,2024-01-19
-0.0227002266316384,2024-01-22
0.02625466637354701,2024-01-23
0.035553623996627426,2024-01-24
0.019628452399283125,2024-01-25
-0.016020856997754462,2024-01-26
0.007836506993168735,2024-01-29
-0.023249639466311756,2024-01-30
-0.013906490618073697,2024-01-31
0.005239863093937869,2024-02-01
-0.002097517038953889,2024-02-02
-0.001516059766011879,2024-02-05
0.040416502699554435,2024-02-06
-0.003407133375352589,2024-02-07
-0.012673842464607565,2024-02-08
-0.008281247770485334,2024-02-09
0.008433564877492694,2024-02-14
0.004109102526769659,2024-02-15
0.024793932567299448,2024-02-16
-0.011282133482316214,2024-02-19
0.005688390104903185,2024-02-20
0.015731016471875137,2024-02-21
0.014533609749210141,2024-02-22
-0.001020718842703161,2024-02-23
-0.005447800234479772,2024-02-26
0.00938160408134947,2024-02-27
-0.015124422901770296,2024-02-28
-0.0015365778156194443,2024-02-29
0.004723997578856665,2024-03-01
0.000393699257799085,2024-03-04
-0.026110618199989055,2024-03-05
0.01704240156954362,2024-03-06
-0.01267237083460171,2024-03-07
0.007616207546710108,2024-03-08
0.01432000760067953,2024-03-11
0.030500530093834355,2024-03-12
-0.0006663717202445296,2024-03-13
-0.007051191167659843,2024-03-14
-0.014194927208306396,2024-03-15
0.0009705533029882307,2024-03-18
-0.012405878821225014,2024-03-19
0.0008221579483815855,2024-03-20
0.019345217715310392,2024-03-21
-0.021563586450491057,2024-03-22
-0.0015655094996537278,2024-03-25
0.00878249627956773,2024-03-26
-0.013568186465896748,2024-03-27
0.009063718034288515,2024-03-28
0.023583199702168045,2024-04-02
-0.01219145874615779,2024-04-03
-7.053395959077946e-05,2024-04-05
0.0005339470376390931,2024-04-08
0.005690644770490971,2024-04-09
0.018486944943646444,2024-04-10
-0.002575423734125115,2024-04-11
-0.021839087682537506,2024-04-12
-0.0072497767623800335,2024-04-15
-0.021173581399989372,2024-04-16
0.0001766337949911101,2024-04-17
0.008247022993310038,2024-04-18
-0.009870058817113891,2024-04-19
0.01772357800896973,2024-04-22
0.019213069339488964,2024-04-23
0.02212498659534856,2024-04-24
0.004840894510647731,2024-04-25
0.021210361861508265,2024-04-26
0.005425128872952101,2024-04-29
0.0009082787078471544,2024-04-30
0.025001454148258828,2024-05-02
0.014762845644161304,2024-05-03
0.005541313223261124,2024-05-06
-0.005325117823738013,2024-05-07
-0.008956461898969481,2024-05-08
0.01222850778141904,2024-05-09
0.022973001021244777,2024-05-10
0.007982673292820097,2024-05-13
-0.0021631953125965664,2024-05-14
0.015876216241677454,2024-05-16
0.0091388955891889,2024-05-17
0.004224863376406596,2024-05-20
-0.02116504844712097,2024-05-21
-0.00130170266977081,2024-05-22
-0.017029354567041022,2024-05-23
-0.013767314854494117,2024-05-24
0.011736840608255195,2024-05-27
-0.0003287479785215597,2024-05-28
-0.01828529101117693,2024-05-29
-0.013358239002459693,2024-05-30
-0.008259929416103096,2024-05-31
0.017889196651960315,2024-06-03
0.0022317135968965562,2024-06-04
-0.00103818715833226,2024-06-05
0.00281356600569449,2024-06-06
-0.005945377871448221,2024-06-07
-0.010377846245984923,2024-06-11
-0.013121453606734224,2024-06-12
